occupation,daily_income,work_days_per_month,monthly_transactions,savings_ratio,income_min,income_max,digital_payment_ratio,loan_history,financial_stability
street_vendor,246.24,26,16,0.0,200.0,318.76,0.157,0,unstable
driver,1228.46,19,20,0.1745,929.86,1527.05,0.32,0,moderate
street_vendor,808.79,20,9,0.0,583.81,900.0,0.073,0,unstable
shopkeeper,1767.64,28,46,0.1928,1504.38,2000.0,0.525,1,stable
delivery_worker,722.25,26,45,0.2276,600.0,926.09,0.522,0,moderate
driver,981.85,19,30,0.1837,816.43,1147.27,0.393,1,moderate
street_vendor,328.97,29,23,0.0948,292.33,365.62,0.055,1,moderate
driver,1130.05,18,19,0.0414,831.83,1428.27,0.313,0,unstable
driver,1188.21,23,36,0.2314,931.38,1445.05,0.403,1,moderate
delivery_worker,751.33,27,44,0.1875,656.69,845.98,0.583,1,moderate
delivery_worker,1575.42,26,52,0.2181,1235.52,1800.0,0.816,0,stable
shopkeeper,773.08,25,59,0.1084,700.0,965.96,0.729,1,moderate
laborer,489.9,25,6,0.0721,424.59,555.2,0.062,0,moderate
street_vendor,840.38,25,15,0.1241,720.76,900.0,0.094,0,moderate
delivery_worker,879.45,25,48,0.2974,763.94,994.97,0.84,1,moderate
delivery_worker,1137.57,22,26,0.0691,931.56,1343.57,0.912,1,moderate
laborer,647.91,22,12,0.0606,569.71,700.0,0.05,0,unstable
delivery_worker,1143.46,21,50,0.1388,812.84,1474.08,0.542,1,moderate
laborer,252.33,15,8,0.0638,205.75,298.91,0.043,0,unstable
laborer,298.59,17,14,0.0699,262.9,334.28,0.142,0,unstable
laborer,514.37,30,9,0.028,435.56,593.18,0.18,0,unstable
street_vendor,782.67,26,13,0.1171,549.18,900.0,0.082,0,moderate
street_vendor,837.14,21,12,0.1773,689.33,900.0,0.181,0,moderate
street_vendor,733.49,25,20,0.075,522.81,900.0,0.13,0,moderate
delivery_worker,1359.81,24,48,0.1124,1027.73,1691.9,0.513,1,moderate
driver,1189.43,20,35,0.0751,1035.73,1343.13,0.598,1,moderate
laborer,208.46,28,13,0.0272,200.0,267.22,0.2,1,unstable
shopkeeper,1044.72,28,50,0.1723,801.75,1287.69,0.386,0,moderate
driver,916.15,21,20,0.2774,808.34,1023.96,0.383,0,moderate
driver,1402.93,22,22,0.1496,1183.66,1600.0,0.721,1,moderate
delivery_worker,1450.3,27,35,0.1044,1092.98,1800.0,0.787,1,stable
driver,897.69,21,31,0.1306,711.91,1083.48,0.698,0,moderate
street_vendor,820.62,29,26,0.1456,671.11,900.0,0.175,1,moderate
driver,602.92,20,33,0.198,540.61,665.22,0.46,0,moderate
street_vendor,313.76,20,25,0.0544,222.16,405.36,0.093,1,unstable
shopkeeper,725.96,28,15,0.2187,700.0,883.73,0.609,1,moderate
delivery_worker,1478.66,24,43,0.2683,1261.89,1695.44,0.595,1,stable
delivery_worker,1353.64,20,34,0.207,993.59,1713.69,0.702,1,moderate
shopkeeper,965.53,27,25,0.0,747.94,1183.13,0.533,0,moderate
delivery_worker,1560.98,26,56,0.0825,1264.04,1800.0,0.709,1,stable
street_vendor,840.39,23,18,0.1112,699.98,900.0,0.239,0,moderate
shopkeeper,868.19,26,40,0.3386,716.12,1020.27,0.36,1,moderate
laborer,403.17,18,7,0.1166,288.14,518.2,0.113,1,unstable
delivery_worker,1781.49,26,23,0.2136,1365.9,1800.0,0.61,0,stable
shopkeeper,1709.87,23,60,0.2401,1308.59,2000.0,0.289,1,stable
driver,773.12,26,24,0.0774,543.03,1003.2,0.419,1,moderate
street_vendor,487.79,26,17,0.0922,416.15,559.43,0.152,1,unstable
driver,1248.28,21,28,0.1857,917.37,1579.18,0.322,0,moderate
laborer,354.46,26,12,0.0731,292.87,416.04,0.092,0,unstable
delivery_worker,1087.76,27,39,0.1374,811.07,1364.44,0.862,0,moderate
shopkeeper,1075.9,27,78,0.3147,763.4,1388.39,0.573,1,stable
street_vendor,872.26,26,18,0.1304,777.25,900.0,0.054,0,moderate
laborer,429.78,22,10,0.0305,343.91,515.65,0.111,0,unstable
driver,1033.82,18,33,0.1704,899.55,1168.09,0.379,0,moderate
driver,1070.2,24,19,0.1991,947.58,1192.83,0.702,0,stable
street_vendor,885.26,30,16,0.0869,707.88,900.0,0.214,1,moderate
driver,959.78,18,28,0.1215,700.01,1219.55,0.737,1,moderate
shopkeeper,1636.0,23,65,0.1668,1439.29,1832.7,0.57,1,stable
driver,1285.03,24,22,0.1675,931.98,1600.0,0.514,1,moderate
laborer,550.17,20,6,0.0758,411.65,688.69,0.116,0,unstable
delivery_worker,1617.84,25,29,0.0,1296.55,1800.0,0.881,0,moderate
driver,943.87,30,27,0.2012,786.57,1101.18,0.543,1,moderate
shopkeeper,838.87,24,48,0.2411,714.91,962.83,0.334,1,moderate
shopkeeper,1099.21,26,26,0.056,981.56,1216.86,0.474,0,moderate
driver,915.08,24,27,0.0383,776.32,1053.85,0.68,1,moderate
laborer,554.65,27,8,0.0803,496.84,612.46,0.057,0,moderate
driver,557.51,16,32,0.1327,500.0,708.32,0.476,0,unstable
driver,851.15,21,28,0.0908,611.82,1090.48,0.398,0,moderate
street_vendor,883.54,23,18,0.1199,728.7,900.0,0.131,0,moderate
laborer,529.45,24,5,0.0735,371.77,687.13,0.112,0,unstable
laborer,275.63,23,15,0.0239,232.38,318.89,0.117,1,unstable
street_vendor,212.62,26,17,0.1383,200.0,238.23,0.19,0,moderate
driver,619.24,23,25,0.1836,500.0,789.65,0.556,0,moderate
shopkeeper,1512.62,28,78,0.2897,1075.11,1950.12,0.318,0,stable
driver,670.26,24,24,0.0555,562.86,777.66,0.427,0,moderate
street_vendor,485.19,24,15,0.2338,340.93,629.44,0.218,1,moderate
laborer,298.85,26,4,0.0673,249.91,347.79,0.041,0,unstable
shopkeeper,728.58,24,61,0.2995,700.0,918.4,0.641,0,moderate
driver,1261.12,26,35,0.1168,1095.7,1426.54,0.405,1,moderate
delivery_worker,1443.94,25,46,0.1225,1183.3,1704.57,0.681,1,moderate
delivery_worker,1195.82,21,23,0.1016,1046.74,1344.89,0.848,0,moderate
driver,668.75,18,27,0.1951,552.85,784.66,0.395,1,moderate
delivery_worker,726.97,27,34,0.2728,600.0,891.0,0.76,0,moderate
driver,1109.51,25,26,0.2446,959.84,1259.18,0.733,0,moderate
delivery_worker,1703.75,28,56,0.2014,1501.06,1800.0,0.841,0,stable
delivery_worker,800.14,23,42,0.0897,600.0,1007.77,0.652,1,moderate
laborer,400.16,19,16,0.0949,316.14,484.19,0.171,1,unstable
street_vendor,284.34,24,24,0.1291,207.48,361.2,0.155,0,unstable
shopkeeper,785.31,23,70,0.3032,700.0,950.14,0.378,1,moderate
driver,1428.05,22,40,0.2053,1229.57,1600.0,0.404,0,stable
street_vendor,807.41,27,17,0.1052,656.89,900.0,0.093,0,moderate
street_vendor,866.19,21,16,0.033,724.18,900.0,0.285,0,unstable
laborer,442.63,25,5,0.0,329.5,555.76,0.088,0,unstable
delivery_worker,1231.14,26,17,0.0961,908.87,1553.4,0.625,0,moderate
street_vendor,706.47,27,16,0.0835,554.27,858.68,0.235,0,moderate
laborer,472.87,19,12,0.0237,391.59,554.15,0.027,0,unstable
driver,1091.9,21,36,0.0906,871.62,1312.19,0.384,1,moderate
delivery_worker,1152.85,27,27,0.2534,971.56,1334.15,0.688,1,stable
street_vendor,391.57,25,25,0.1167,275.66,507.47,0.052,0,unstable
delivery_worker,645.03,18,60,0.1909,600.0,782.97,0.529,1,moderate
driver,764.27,23,48,0.0636,616.03,912.51,0.478,1,moderate
shopkeeper,1354.84,23,65,0.2785,994.39,1715.28,0.734,0,stable
street_vendor,620.37,26,28,0.0457,492.57,748.18,0.217,0,moderate
driver,807.74,21,23,0.208,635.7,979.79,0.795,1,moderate
street_vendor,548.73,28,23,0.0707,457.69,639.77,0.255,0,moderate
shopkeeper,964.56,23,36,0.2767,700.0,1229.5,0.274,1,moderate
shopkeeper,1813.54,26,45,0.1127,1488.54,2000.0,0.443,0,moderate
driver,1338.13,21,32,0.0675,1069.13,1600.0,0.774,0,moderate
delivery_worker,921.94,24,42,0.1871,720.81,1123.08,0.897,0,moderate
delivery_worker,1529.58,22,41,0.1859,1204.66,1800.0,0.621,1,stable
laborer,561.42,14,13,0.143,501.63,621.21,0.194,0,unstable
laborer,231.8,10,7,0.0,200.0,280.56,0.027,0,unstable
driver,791.75,27,23,0.1548,603.93,979.57,0.767,0,moderate
street_vendor,660.56,24,18,0.1,485.66,835.47,0.205,1,moderate
shopkeeper,1386.63,26,44,0.4,1212.78,1560.48,0.561,1,stable
shopkeeper,953.29,25,56,0.3539,764.29,1142.3,0.552,1,stable
delivery_worker,1092.98,23,37,0.1751,936.09,1249.87,0.6,0,moderate
driver,721.29,21,29,0.1605,637.61,804.97,0.727,0,moderate
driver,557.57,22,33,0.1818,500.0,700.62,0.554,1,moderate
delivery_worker,1614.4,22,33,0.1398,1218.17,1800.0,0.53,0,moderate
shopkeeper,732.26,27,62,0.1874,700.0,927.81,0.527,0,moderate
shopkeeper,1904.05,25,47,0.2797,1710.18,2000.0,0.48,0,stable
delivery_worker,826.2,25,31,0.1792,610.57,1041.83,0.752,0,moderate
delivery_worker,773.32,25,19,0.1736,627.62,919.03,0.842,0,moderate
street_vendor,456.4,24,14,0.0236,405.93,506.87,0.105,0,unstable
street_vendor,308.39,26,27,0.0149,255.58,361.2,0.219,1,unstable
shopkeeper,802.06,22,52,0.1843,700.0,1023.63,0.71,1,moderate
laborer,385.25,18,10,0.0133,302.89,467.61,0.105,1,unstable
street_vendor,333.74,30,8,0.0586,247.6,419.88,0.165,0,unstable
street_vendor,724.3,22,15,0.0875,612.42,836.18,0.21,0,moderate
delivery_worker,1039.23,27,29,0.1844,767.56,1310.91,0.558,0,moderate
street_vendor,855.6,25,20,0.0945,717.27,900.0,0.11,0,moderate
street_vendor,551.19,21,16,0.0336,416.1,686.28,0.196,0,unstable
laborer,609.18,23,13,0.1223,527.35,691.01,0.094,1,moderate
delivery_worker,1398.92,26,26,0.2642,1112.23,1685.6,0.908,0,moderate
delivery_worker,702.48,27,46,0.248,600.0,835.93,0.62,1,moderate
driver,1488.46,21,36,0.1797,1072.8,1600.0,0.344,0,moderate
delivery_worker,984.74,23,25,0.1228,851.15,1118.34,0.561,1,moderate
driver,1129.51,18,40,0.0955,916.75,1342.28,0.747,0,moderate
driver,865.2,25,25,0.0565,649.86,1080.54,0.578,0,moderate
delivery_worker,1386.52,27,35,0.2348,1183.21,1589.84,0.812,1,stable
delivery_worker,1047.19,22,40,0.1351,868.81,1225.57,0.805,0,moderate
shopkeeper,1430.44,27,35,0.3291,1075.44,1785.44,0.654,1,stable
delivery_worker,1285.46,20,30,0.2726,965.27,1605.64,0.918,0,moderate
laborer,530.73,19,9,0.0375,381.78,679.69,0.148,0,unstable
street_vendor,799.92,23,13,0.0421,653.52,900.0,0.282,1,moderate
driver,1410.34,19,23,0.1632,1148.67,1600.0,0.469,1,moderate
driver,1557.7,17,28,0.1364,1150.43,1600.0,0.38,0,moderate
driver,1538.15,23,38,0.1647,1383.16,1600.0,0.539,0,stable
shopkeeper,1582.92,26,29,0.1769,1401.18,1764.67,0.251,1,moderate
driver,1420.55,21,23,0.1151,1115.89,1600.0,0.382,1,moderate
shopkeeper,1730.69,25,59,0.1357,1244.11,2000.0,0.465,1,stable
delivery_worker,1484.15,26,37,0.0259,1201.15,1767.16,0.726,1,moderate
delivery_worker,1475.09,25,51,0.1422,1069.51,1800.0,0.679,1,moderate
laborer,433.69,24,9,0.0546,365.55,501.83,0.038,0,unstable
laborer,228.55,19,4,0.1045,200.64,256.46,0.153,0,unstable
laborer,366.85,18,5,0.0473,306.95,426.76,0.062,0,unstable
street_vendor,801.65,30,6,0.1104,607.69,900.0,0.109,1,moderate
delivery_worker,1411.31,23,48,0.1816,1155.86,1666.76,0.907,1,moderate
driver,903.3,18,12,0.101,701.12,1105.48,0.413,0,moderate
street_vendor,835.89,24,10,0.1202,621.68,900.0,0.323,0,moderate
delivery_worker,686.29,19,43,0.0969,600.0,879.68,0.76,0,moderate
street_vendor,552.15,22,10,0.1375,487.78,616.52,0.307,0,moderate
shopkeeper,950.69,24,60,0.1632,819.29,1082.1,0.411,1,moderate
shopkeeper,1926.15,27,43,0.1257,1374.61,2000.0,0.325,1,stable
shopkeeper,1298.76,25,57,0.2971,934.91,1662.61,0.653,1,stable
driver,852.07,21,24,0.1068,694.98,1009.15,0.319,0,moderate
street_vendor,383.76,26,14,0.0771,341.36,426.15,0.175,0,unstable
shopkeeper,960.73,28,39,0.1767,823.28,1098.19,0.44,0,moderate
laborer,507.67,21,4,0.0323,415.08,600.27,0.093,0,unstable
shopkeeper,1607.49,26,42,0.1978,1241.58,1973.4,0.464,1,stable
shopkeeper,1931.91,28,41,0.0626,1555.12,2000.0,0.656,0,stable
shopkeeper,1574.91,25,68,0.2505,1402.63,1747.19,0.318,1,stable
driver,1470.74,21,43,0.1372,1317.75,1600.0,0.71,1,moderate
driver,1094.84,21,30,0.1526,837.05,1352.63,0.566,1,moderate
shopkeeper,1939.81,24,45,0.1871,1496.72,2000.0,0.58,1,stable
driver,718.82,25,28,0.1044,560.44,877.21,0.573,1,moderate
street_vendor,724.07,24,11,0.0558,531.77,900.0,0.179,0,unstable
laborer,278.69,24,9,0.0443,249.09,308.29,0.187,0,unstable
shopkeeper,1567.15,28,31,0.2604,1124.72,2000.0,0.425,1,stable
delivery_worker,1240.27,26,32,0.1337,1116.18,1364.35,0.613,0,moderate
laborer,339.84,25,10,0.0428,292.84,386.84,0.084,0,unstable
street_vendor,585.48,23,17,0.205,431.29,739.68,0.062,0,moderate
laborer,391.74,13,13,0.1176,340.64,442.84,0.1,0,unstable
shopkeeper,1044.46,29,74,0.2575,846.3,1242.62,0.642,1,stable
street_vendor,652.23,23,21,0.0768,567.36,737.1,0.313,0,unstable
laborer,664.94,12,5,0.0489,534.1,700.0,0.164,1,unstable
shopkeeper,1869.5,26,58,0.307,1341.99,2000.0,0.316,0,stable
delivery_worker,641.16,27,36,0.1538,600.0,769.08,0.664,1,moderate
delivery_worker,1347.81,20,40,0.313,1192.96,1502.65,0.751,0,stable
delivery_worker,1002.73,28,33,0.0,749.02,1256.44,0.792,1,moderate
driver,1219.39,20,27,0.0972,946.59,1492.19,0.478,0,moderate
driver,1419.13,23,33,0.1306,1264.82,1573.43,0.305,1,moderate
delivery_worker,1750.83,24,38,0.165,1360.95,1800.0,0.824,0,stable
delivery_worker,1089.65,27,48,0.1826,939.0,1240.3,0.862,1,moderate
shopkeeper,1600.34,28,51,0.1791,1257.26,1943.43,0.285,1,stable
shopkeeper,1121.86,20,46,0.0776,797.61,1446.1,0.586,1,moderate
laborer,443.22,21,13,0.0176,333.43,553.01,0.19,1,unstable
laborer,587.34,21,10,0.0619,497.5,677.18,0.156,1,unstable
delivery_worker,1131.65,23,42,0.235,878.65,1384.64,0.733,1,moderate
delivery_worker,977.32,23,33,0.2898,766.03,1188.61,0.783,0,moderate
delivery_worker,1453.35,24,51,0.1187,1292.91,1613.79,0.717,0,stable
delivery_worker,1054.02,22,39,0.1154,790.57,1317.46,0.946,0,moderate
shopkeeper,973.69,25,32,0.2755,778.67,1168.71,0.364,0,moderate
driver,1151.83,24,49,0.1532,949.12,1354.53,0.58,0,moderate
driver,1055.43,22,40,0.1752,912.65,1198.21,0.766,0,moderate
street_vendor,458.31,22,12,0.0824,400.06,516.57,0.33,1,unstable
laborer,326.38,26,8,0.0,267.2,385.57,0.068,0,unstable
street_vendor,303.22,23,26,0.1062,235.8,370.63,0.331,0,unstable
laborer,673.04,18,7,0.0458,572.79,700.0,0.022,0,unstable
laborer,223.03,23,8,0.0,200.0,269.6,0.13,0,unstable
driver,1228.09,22,21,0.21,998.67,1457.51,0.381,0,moderate
laborer,626.7,21,11,0.0395,449.43,700.0,0.078,0,unstable
street_vendor,235.36,22,26,0.0416,209.75,260.96,0.251,1,unstable
street_vendor,764.12,21,15,0.0193,675.6,852.65,0.195,0,unstable
shopkeeper,1116.93,25,50,0.3018,789.91,1443.94,0.401,1,moderate
driver,1334.22,21,24,0.1569,1039.09,1600.0,0.37,0,moderate
street_vendor,345.48,16,19,0.0608,276.1,414.85,0.082,0,unstable
laborer,280.36,21,9,0.0007,200.0,363.24,0.086,0,unstable
delivery_worker,754.84,26,36,0.1437,614.39,895.29,0.855,1,moderate
street_vendor,876.81,27,13,0.0098,696.78,900.0,0.07,0,unstable
delivery_worker,647.15,26,39,0.1944,600.0,796.63,0.717,0,moderate
street_vendor,247.61,17,21,0.0382,213.25,281.96,0.107,0,unstable
street_vendor,350.67,24,21,0.0184,255.17,446.17,0.065,1,unstable
laborer,527.12,16,9,0.0736,418.15,636.09,0.145,0,unstable
laborer,456.29,11,1,0.0619,386.22,526.35,0.079,1,unstable
delivery_worker,1195.55,25,45,0.1345,945.81,1445.3,0.943,0,moderate
delivery_worker,836.53,23,58,0.2624,606.42,1066.63,0.716,1,moderate
shopkeeper,1341.22,26,63,0.3354,1051.75,1630.69,0.3,0,stable
laborer,260.48,10,12,0.0174,230.33,290.63,0.098,1,unstable
driver,1585.81,22,21,0.2338,1249.25,1600.0,0.347,0,moderate
delivery_worker,943.51,24,40,0.1912,769.19,1117.84,0.625,1,moderate
driver,678.75,26,21,0.2074,500.0,868.12,0.333,0,moderate
laborer,486.2,13,7,0.0643,398.25,574.16,0.096,0,unstable
street_vendor,377.9,19,32,0.0303,277.75,478.06,0.141,1,unstable
street_vendor,260.14,26,13,0.0109,200.0,323.3,0.191,0,unstable
shopkeeper,830.81,22,64,0.3182,700.0,965.34,0.393,1,moderate
shopkeeper,951.48,24,41,0.1677,816.3,1086.66,0.57,1,moderate
delivery_worker,761.04,23,52,0.1114,600.0,935.28,0.751,1,moderate
driver,1215.91,14,41,0.1971,1066.04,1365.78,0.736,0,moderate
street_vendor,625.43,17,14,0.0383,512.27,738.6,0.194,0,unstable
street_vendor,839.67,18,10,0.1025,693.85,900.0,0.234,0,moderate
driver,1399.69,25,30,0.2264,1248.99,1550.4,0.499,0,moderate
laborer,533.71,19,14,0.0143,478.97,588.44,0.099,0,unstable
delivery_worker,1084.38,23,45,0.1739,828.75,1340.0,0.77,0,moderate
delivery_worker,731.23,27,21,0.2252,600.0,862.45,0.744,0,moderate
driver,637.6,18,35,0.1557,557.29,717.91,0.507,1,moderate
shopkeeper,1488.7,28,54,0.1427,1062.8,1914.6,0.643,1,stable
delivery_worker,1043.26,22,56,0.2109,833.4,1253.12,0.66,0,moderate
laborer,492.69,13,13,0.05,389.46,595.92,0.171,0,unstable
laborer,594.52,12,3,0.0,493.34,695.7,0.055,1,unstable
driver,1150.01,19,36,0.1872,807.49,1492.53,0.773,1,moderate
driver,1228.17,24,23,0.2974,991.17,1465.17,0.394,0,moderate
driver,1081.44,24,39,0.1737,797.97,1364.91,0.55,0,moderate
delivery_worker,1703.85,23,46,0.0292,1514.66,1800.0,0.567,0,moderate
street_vendor,205.85,30,21,0.092,200.0,233.37,0.252,0,moderate
street_vendor,200.9,25,27,0.0996,200.0,225.82,0.175,0,unstable
street_vendor,565.3,25,16,0.1069,500.39,630.22,0.085,0,unstable
street_vendor,346.58,25,13,0.1059,311.11,382.06,0.224,0,unstable
shopkeeper,1116.24,26,35,0.1309,854.98,1377.49,0.407,1,moderate
delivery_worker,1682.3,23,36,0.069,1380.43,1800.0,0.644,0,stable
laborer,685.61,20,14,0.0692,556.98,700.0,0.112,0,unstable
street_vendor,822.78,20,19,0.1,668.03,900.0,0.197,0,moderate
laborer,362.79,18,10,0.0929,255.14,470.44,0.03,1,unstable
laborer,425.01,12,3,0.033,354.23,495.79,0.05,0,unstable
street_vendor,560.2,27,9,0.121,481.75,638.65,0.265,0,moderate
laborer,438.5,24,10,0.0333,338.32,538.67,0.16,0,unstable
driver,893.26,26,38,0.1246,754.38,1032.15,0.685,0,moderate
laborer,641.42,24,20,0.0739,509.57,700.0,0.155,0,moderate
delivery_worker,688.28,25,47,0.1544,612.09,764.46,0.542,0,moderate
street_vendor,723.06,30,22,0.0551,605.68,840.44,0.072,0,moderate
driver,782.33,22,33,0.2695,611.31,953.34,0.472,1,moderate
delivery_worker,1796.02,22,26,0.2736,1346.73,1800.0,0.522,1,stable
laborer,477.09,26,10,0.0462,356.67,597.51,0.063,0,unstable
shopkeeper,794.09,25,53,0.2168,700.0,1025.03,0.527,0,moderate
delivery_worker,606.42,24,31,0.1851,600.0,757.81,0.737,1,moderate
street_vendor,200.55,26,19,0.0441,200.0,253.1,0.324,1,unstable
street_vendor,665.69,19,19,0.0352,588.64,742.74,0.189,0,unstable
delivery_worker,805.53,28,50,0.0914,605.49,1005.56,0.571,0,moderate
street_vendor,289.73,27,13,0.1076,236.11,343.35,0.318,1,unstable
laborer,506.92,18,16,0.0189,447.34,566.51,0.139,0,unstable
shopkeeper,1067.3,26,43,0.3695,879.88,1254.73,0.374,1,moderate
laborer,367.11,20,14,0.0272,328.51,405.71,0.182,0,unstable
driver,1001.05,21,35,0.1914,894.78,1107.33,0.312,0,moderate
delivery_worker,1258.72,24,58,0.1181,1077.63,1439.8,0.827,1,stable
laborer,668.43,16,6,0.079,579.59,700.0,0.066,1,unstable
laborer,311.55,22,9,0.0133,276.87,346.22,0.061,0,unstable
shopkeeper,1029.54,26,60,0.1199,732.92,1326.16,0.456,0,moderate
driver,996.8,17,28,0.1807,726.32,1267.28,0.58,1,moderate
shopkeeper,960.61,26,46,0.2074,785.11,1136.11,0.553,0,moderate
shopkeeper,1197.99,23,29,0.3762,869.96,1526.02,0.284,1,stable
street_vendor,774.52,23,24,0.1341,601.87,900.0,0.287,1,moderate
street_vendor,546.96,19,10,0.0562,446.2,647.72,0.091,1,unstable
street_vendor,238.73,21,12,0.1946,205.4,272.07,0.246,0,unstable
street_vendor,653.06,30,17,0.047,581.9,724.21,0.215,0,moderate
street_vendor,273.26,22,11,0.0353,200.98,345.55,0.095,0,unstable
